Báo cáo Sản phẩm - Shopee Việt Nam
Tên đăng nhập,riversong_mall
Tên gian hàng,Riversong Việt Nam
Mã Người bán,1418202003
Tên Quảng cáo,Đồng hồ thời trang chạy bộ GPS độc lập RIVERSONG smart watch chống nước đo calo sức khoẻ Motive 10GT [3]
Mã sản phẩm,29028469936
,
Thời gian tạo báo cáo,29/07/2025 09:58
Khoảng thời gian,23/07/2025 - 29/07/2025

Tìm kiếm
Thứ tự,Từ khóa,Loại từ khóa,Lệnh tìm kiếm,Phương thức đấu thầu,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,Thứ hạng trung bình,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp
1,Chọn Thủ Công,-,-,Giá thầu Thủ công,1884,52,2.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,88019,18,0.00,0.00,0.00%,0.00%
2,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ nam,Giá thầu Thủ công,141,6,4.26%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,9202,23,0.00,0.00,0.00%,0.00%
3,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thông minh,Giá thầu Thủ công,104,2,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3600,19,0.00,0.00,0.00%,0.00%
4,dây đồng hồ redmi watch 3,Từ khóa mở rộng,đồng hồ thông minh,Giá thầu Thủ công,50,4,8.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,5745,24,0.00,0.00,0.00%,0.00%
5,chống nước đồng hồ,Từ khóa mở rộng,smart watch,Giá thầu Thủ công,39,1,2.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1783,19,0.00,0.00,0.00%,0.00%
6,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ chạy bộ,Giá thầu Thủ công,25,1,4.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1701,10,0.00,0.00,0.00%,0.00%
7,dong ho,Từ khóa mở rộng,đồng hồ thông minh,Giá thầu Thủ công,22,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,41,0.00,0.00,0.00%,0.00%
8,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ nam chính hãng,Giá thầu Thủ công,21,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,21,0.00,0.00,0.00%,0.00%
9,dây đồng hồ redmi watch 3,Từ khóa mở rộng,smart watch,Giá thầu Thủ công,11,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,24,0.00,0.00,0.00%,0.00%
10,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ thể thao nam,Giá thầu Thủ công,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,21,0.00,0.00,0.00%,0.00%
11,chống nước đồng hồ,Từ khóa mở rộng,đồng hồ cơ,Giá thầu Thủ công,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1800,6,0.00,0.00,0.00%,0.00%
